Song,Album,Lyric,Previous Lyric,Next Lyric
22,Red (Deluxe Edition),It feels like a perfect night,,To dress up like hipsters
22,Red (Deluxe Edition),To dress up like hipsters,It feels like a perfect night,"And make fun of our exes, uh-uh, uh-uh"
22,Red (Deluxe Edition),"And make fun of our exes, uh-uh, uh-uh",To dress up like hipsters,It feels like a perfect night
22,Red (Deluxe Edition),It feels like a perfect night,"And make fun of our exes, uh-uh, uh-uh",For breakfast at midnight
22,Red (Deluxe Edition),For breakfast at midnight,It feels like a perfect night,"To fall in love with strangers, uh-uh, uh-uh"
22,Red (Deluxe Edition),"To fall in love with strangers, uh-uh, uh-uh",For breakfast at midnight,
22,Red (Deluxe Edition),Yeah,"To fall in love with strangers, uh-uh, uh-uh","We're happy, free, confused, and lonely at the same time"
22,Red (Deluxe Edition),"We're happy, free, confused, and lonely at the same time",Yeah,"It's miserable and magical, oh, yeah"
22,Red (Deluxe Edition),"It's miserable and magical, oh, yeah","We're happy, free, confused, and lonely at the same time",Tonight's the night when we forget about the deadlines
22,Red (Deluxe Edition),Tonight's the night when we forget about the deadlines,"It's miserable and magical, oh, yeah","It's time, oh-oh"
22,Red (Deluxe Edition),"It's time, oh-oh",Tonight's the night when we forget about the deadlines,
22,Red (Deluxe Edition),"I don't know about you, but I'm feeling 22","It's time, oh-oh",Everything will be alright if you keep me next to you
22,Red (Deluxe Edition),Everything will be alright if you keep me next to you,"I don't know about you, but I'm feeling 22","You don't know about me, but I'll bet you want to"
22,Red (Deluxe Edition),"You don't know about me, but I'll bet you want to",Everything will be alright if you keep me next to you,Everything will be alright if we just keep dancing like we're
22,Red (Deluxe Edition),Everything will be alright if we just keep dancing like we're,"You don't know about me, but I'll bet you want to","22, 22"
22,Red (Deluxe Edition),"22, 22",Everything will be alright if we just keep dancing like we're,
22,Red (Deluxe Edition),It seems like one of those nights,"22, 22",This place is too crowded
22,Red (Deluxe Edition),This place is too crowded,It seems like one of those nights,"Too many cool kids, uh-uh, uh-uh"
22,Red (Deluxe Edition),"Too many cool kids, uh-uh, uh-uh",This place is too crowded,"(Who's Taylor Swift, anyway? Ew)"
22,Red (Deluxe Edition),"(Who's Taylor Swift, anyway? Ew)","Too many cool kids, uh-uh, uh-uh",It seems like one of those nights
22,Red (Deluxe Edition),It seems like one of those nights,"(Who's Taylor Swift, anyway? Ew)",We ditch the whole scene
22,Red (Deluxe Edition),We ditch the whole scene,It seems like one of those nights,And end up dreaming
22,Red (Deluxe Edition),And end up dreaming,We ditch the whole scene,Instead of sleeping
22,Red (Deluxe Edition),Instead of sleeping,And end up dreaming,
22,Red (Deluxe Edition),Yeah,Instead of sleeping,"We're happy, free, confused, and lonely in the best way"
22,Red (Deluxe Edition),"We're happy, free, confused, and lonely in the best way",Yeah,"It's miserable and magical, oh, yeah"
22,Red (Deluxe Edition),"It's miserable and magical, oh, yeah","We're happy, free, confused, and lonely in the best way",Tonight's the night when we forget about the heartbreaks
22,Red (Deluxe Edition),Tonight's the night when we forget about the heartbreaks,"It's miserable and magical, oh, yeah","It's time, oh-oh"
22,Red (Deluxe Edition),"It's time, oh-oh",Tonight's the night when we forget about the heartbreaks,
22,Red (Deluxe Edition),(Hey!),"It's time, oh-oh","I don't know about you, but I'm feeling 22"
22,Red (Deluxe Edition),"I don't know about you, but I'm feeling 22",(Hey!),Everything will be alright (Ooh) if you keep me next to you
22,Red (Deluxe Edition),Everything will be alright (Ooh) if you keep me next to you,"I don't know about you, but I'm feeling 22","You don't know about me, but I'll bet you want to"
22,Red (Deluxe Edition),"You don't know about me, but I'll bet you want to",Everything will be alright (Ooh) if you keep me next to you,Everything will be alright if (Alright)
22,Red (Deluxe Edition),Everything will be alright if (Alright),"You don't know about me, but I'll bet you want to","We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)"
22,Red (Deluxe Edition),"We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)",Everything will be alright if (Alright),22 (I don't know about you)
22,Red (Deluxe Edition),22 (I don't know about you),"We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)","22, 22"
22,Red (Deluxe Edition),"22, 22",22 (I don't know about you),
22,Red (Deluxe Edition),It feels like one of those nights,"22, 22",We ditch the whole scene
22,Red (Deluxe Edition),We ditch the whole scene,It feels like one of those nights,It feels like one of those nights
22,Red (Deluxe Edition),It feels like one of those nights,We ditch the whole scene,We won't be sleeping
22,Red (Deluxe Edition),We won't be sleeping,It feels like one of those nights,It feels like one of those nights
22,Red (Deluxe Edition),It feels like one of those nights,We won't be sleeping,You look like bad news
22,Red (Deluxe Edition),You look like bad news,It feels like one of those nights,I gotta have you
22,Red (Deluxe Edition),I gotta have you,You look like bad news,I gotta have you
22,Red (Deluxe Edition),I gotta have you,I gotta have you,"Ooh, ooh, yeah"
22,Red (Deluxe Edition),"Ooh, ooh, yeah",I gotta have you,
22,Red (Deluxe Edition),(Hey!),"Ooh, ooh, yeah","I don't know about you, but I'm feeling 22"
22,Red (Deluxe Edition),"I don't know about you, but I'm feeling 22",(Hey!),Everything will be alright if (Ooh) you keep me next to you
22,Red (Deluxe Edition),Everything will be alright if (Ooh) you keep me next to you,"I don't know about you, but I'm feeling 22","You don't know about me, but I'll bet you want to"
22,Red (Deluxe Edition),"You don't know about me, but I'll bet you want to",Everything will be alright if (Ooh) you keep me next to you,Everything will be alright if we just keep dancing like we're
22,Red (Deluxe Edition),Everything will be alright if we just keep dancing like we're,"You don't know about me, but I'll bet you want to","22 (Whoa, oh)"
22,Red (Deluxe Edition),"22 (Whoa, oh)",Everything will be alright if we just keep dancing like we're,22 (Dancing like)
22,Red (Deluxe Edition),22 (Dancing like),"22 (Whoa, oh)","22 (Yeah, yeah), 22, (Yeah, yeah, yeah)"
22,Red (Deluxe Edition),"22 (Yeah, yeah), 22, (Yeah, yeah, yeah)",22 (Dancing like),
22,Red (Deluxe Edition),It feels like one of those nights,"22 (Yeah, yeah), 22, (Yeah, yeah, yeah)",We ditch the whole scene
22,Red (Deluxe Edition),I gotta have you,I gotta have you,
All Too Well,Red (Deluxe Edition),I walked through the door with you,,The air was cold
All Too Well,Red (Deluxe Edition),The air was cold,I walked through the door with you,"But something 'bout it felt like home somehow, and I"
All Too Well,Red (Deluxe Edition),"But something 'bout it felt like home somehow, and I",The air was cold,Left my scarf there at your sister's house
All Too Well,Red (Deluxe Edition),Left my scarf there at your sister's house,"But something 'bout it felt like home somehow, and I",And you've still got it
All Too Well,Red (Deluxe Edition),And you've still got it,Left my scarf there at your sister's house,"In your drawer, even now"
All Too Well,Red (Deluxe Edition),"In your drawer, even now",And you've still got it,
All Too Well,Red (Deluxe Edition),"Oh, your sweet disposition","In your drawer, even now",And my wide-eyed gaze
All Too Well,Red (Deluxe Edition),And my wide-eyed gaze,"Oh, your sweet disposition",We're singing in the car getting lost upstate
All Too Well,Red (Deluxe Edition),We're singing in the car getting lost upstate,And my wide-eyed gaze,Autumn leaves falling down like pieces into place
All Too Well,Red (Deluxe Edition),Autumn leaves falling down like pieces into place,We're singing in the car getting lost upstate,And I can picture it after all these days
All Too Well,Red (Deluxe Edition),And I can picture it after all these days,Autumn leaves falling down like pieces into place,
All Too Well,Red (Deluxe Edition),And I know it's long gone and,And I can picture it after all these days,That magic's not here no more
All Too Well,Red (Deluxe Edition),That magic's not here no more,And I know it's long gone and,"And I might be okay, but I'm not fine at all"
All Too Well,Red (Deluxe Edition),"And I might be okay, but I'm not fine at all",That magic's not here no more,"Oh, oh, oh"
All Too Well,Red (Deluxe Edition),"Oh, oh, oh","And I might be okay, but I'm not fine at all",
All Too Well,Red (Deluxe Edition),'Cause there we are again on that little town street,"Oh, oh, oh",You almost ran the red 'cause you were looking over at me
All Too Well,Red (Deluxe Edition),You almost ran the red 'cause you were looking over at me,'Cause there we are again on that little town street,"Wind in my hair, I was there, I remember it all too well"
All Too Well,Red (Deluxe Edition),"Wind in my hair, I was there, I remember it all too well",You almost ran the red 'cause you were looking over at me,
All Too Well,Red (Deluxe Edition),Photo album on the counter,"Wind in my hair, I was there, I remember it all too well",Your cheeks were turning red
All Too Well,Red (Deluxe Edition),Your cheeks were turning red,Photo album on the counter,You used to be a little kid with glasses in a twin-sized bed
All Too Well,Red (Deluxe Edition),You used to be a little kid with glasses in a twin-sized bed,Your cheeks were turning red,And your mother's telling stories 'bout you on the tee-ball team
All Too Well,Red (Deluxe Edition),And your mother's telling stories 'bout you on the tee-ball team,You used to be a little kid with glasses in a twin-sized bed,"You tell me 'bout your past, thinking your future was me"
All Too Well,Red (Deluxe Edition),"You tell me 'bout your past, thinking your future was me",And your mother's telling stories 'bout you on the tee-ball team,
All Too Well,Red (Deluxe Edition),And I know it's long gone and,"You tell me 'bout your past, thinking your future was me",There was nothing else I could do
All Too Well,Red (Deluxe Edition),There was nothing else I could do,And I know it's long gone and,And I forget about you long enough
All Too Well,Red (Deluxe Edition),And I forget about you long enough,There was nothing else I could do,To forget why I needed to
All Too Well,Red (Deluxe Edition),To forget why I needed to,And I forget about you long enough,
All Too Well,Red (Deluxe Edition),'Cause there we are again in the middle of the night,To forget why I needed to,We're dancing round the kitchen in the refrigerator light
All Too Well,Red (Deluxe Edition),We're dancing round the kitchen in the refrigerator light,'Cause there we are again in the middle of the night,"Down the stairs, I was there, I remember it all too well, yeah"
All Too Well,Red (Deluxe Edition),"Down the stairs, I was there, I remember it all too well, yeah",We're dancing round the kitchen in the refrigerator light,
All Too Well,Red (Deluxe Edition),Maybe we got lost in translation,"Down the stairs, I was there, I remember it all too well, yeah",Maybe I asked for too much
All Too Well,Red (Deluxe Edition),Maybe I asked for too much,Maybe we got lost in translation,But maybe this thing was a masterpiece
All Too Well,Red (Deluxe Edition),But maybe this thing was a masterpiece,Maybe I asked for too much,'Til you tore it all up
All Too Well,Red (Deluxe Edition),'Til you tore it all up,But maybe this thing was a masterpiece,"Running scared, I was there, I remember it all too well"
All Too Well,Red (Deluxe Edition),"Running scared, I was there, I remember it all too well",'Til you tore it all up,
All Too Well,Red (Deluxe Edition),And you call me up again just to break me like a promise,"Running scared, I was there, I remember it all too well",So casually cruel in the name of being honest
All Too Well,Red (Deluxe Edition),So casually cruel in the name of being honest,And you call me up again just to break me like a promise,I'm a crumpled up piece of paper lying here
All Too Well,Red (Deluxe Edition),I'm a crumpled up piece of paper lying here,So casually cruel in the name of being honest,"'Cause I remember it all, all, all"
All Too Well,Red (Deluxe Edition),"'Cause I remember it all, all, all",I'm a crumpled up piece of paper lying here,Too well
All Too Well,Red (Deluxe Edition),Too well,"'Cause I remember it all, all, all",
All Too Well,Red (Deluxe Edition),"Time won't fly, it's like I'm paralyzed by it",Too well,I'd like to be my old self again
All Too Well,Red (Deluxe Edition),I'd like to be my old self again,"Time won't fly, it's like I'm paralyzed by it",But I'm still trying to find it
All Too Well,Red (Deluxe Edition),But I'm still trying to find it,I'd like to be my old self again,After plaid shirt days and nights when you made me your own
All Too Well,Red (Deluxe Edition),After plaid shirt days and nights when you made me your own,But I'm still trying to find it,Now you mail back my things and I walk home alone
All Too Well,Red (Deluxe Edition),Now you mail back my things and I walk home alone,After plaid shirt days and nights when you made me your own,But you keep my old scarf
All Too Well,Red (Deluxe Edition),But you keep my old scarf,Now you mail back my things and I walk home alone,From that very first week
All Too Well,Red (Deluxe Edition),From that very first week,But you keep my old scarf,'Cause it reminds you of innocence
All Too Well,Red (Deluxe Edition),'Cause it reminds you of innocence,From that very first week,And it smells like me
All Too Well,Red (Deluxe Edition),And it smells like me,'Cause it reminds you of innocence,You can't get rid of it
All Too Well,Red (Deluxe Edition),You can't get rid of it,And it smells like me,"'Cause you remember it all too well, yeah"
All Too Well,Red (Deluxe Edition),"'Cause you remember it all too well, yeah",You can't get rid of it,
All Too Well,Red (Deluxe Edition),'Cause there we are again when I loved you so,"'Cause you remember it all too well, yeah",Back before you lost the one real thing you've ever known
All Too Well,Red (Deluxe Edition),Back before you lost the one real thing you've ever known,'Cause there we are again when I loved you so,"It was rare, I was there, I remember it all too well"
All Too Well,Red (Deluxe Edition),"It was rare, I was there, I remember it all too well",Back before you lost the one real thing you've ever known,
All Too Well,Red (Deluxe Edition),"Wind in my hair, you were there, you remember it all","It was rare, I was there, I remember it all too well","Down the stairs, you were there, you remember it all"
All Too Well,Red (Deluxe Edition),"Down the stairs, you were there, you remember it all","Wind in my hair, you were there, you remember it all","It was rare, I was there, I remember it all too well"
All Too Well,Red (Deluxe Edition),"It was rare, I was there, I remember it all too well","Down the stairs, you were there, you remember it all",
Begin Again,Red (Deluxe Edition),Took a deep breath in the mirror,,"He didn't like it when I wore high heels, but I do"
Begin Again,Red (Deluxe Edition),"He didn't like it when I wore high heels, but I do",Took a deep breath in the mirror,Turn the lock and put my headphones on
Begin Again,Red (Deluxe Edition),Turn the lock and put my headphones on,"He didn't like it when I wore high heels, but I do","He always said he didn't get this song but I do, I do"
Begin Again,Red (Deluxe Edition),"He always said he didn't get this song but I do, I do",Turn the lock and put my headphones on,"Walked in, expecting you'd be late"
Begin Again,Red (Deluxe Edition),"Walked in, expecting you'd be late","He always said he didn't get this song but I do, I do",But you got here early and you stand and wave
Begin Again,Red (Deluxe Edition),But you got here early and you stand and wave,"Walked in, expecting you'd be late",I walk to you
Begin Again,Red (Deluxe Edition),I walk to you,But you got here early and you stand and wave,You pull my chair out and help me in
Begin Again,Red (Deluxe Edition),You pull my chair out and help me in,I walk to you,"And you don't know how nice that is, but I do"
Begin Again,Red (Deluxe Edition),"And you don't know how nice that is, but I do",You pull my chair out and help me in,
Begin Again,Red (Deluxe Edition),And you throw your head back laughing like a little kid,"And you don't know how nice that is, but I do",I think it's strange that you think I'm funny 'cause he never did
Begin Again,Red (Deluxe Edition),I think it's strange that you think I'm funny 'cause he never did,And you throw your head back laughing like a little kid,I've been spending the last eight months
Begin Again,Red (Deluxe Edition),I've been spending the last eight months,I think it's strange that you think I'm funny 'cause he never did,Thinking all love ever does is break and burn and end
Begin Again,Red (Deluxe Edition),Thinking all love ever does is break and burn and end,I've been spending the last eight months,"But on a Wednesday in a café, I watched it begin again"
Begin Again,Red (Deluxe Edition),"But on a Wednesday in a café, I watched it begin again",Thinking all love ever does is break and burn and end,
Begin Again,Red (Deluxe Edition),You said you never met one girl who,"But on a Wednesday in a café, I watched it begin again","Had as many James Taylor records as you, but I do"
Begin Again,Red (Deluxe Edition),"Had as many James Taylor records as you, but I do",You said you never met one girl who,We tell stories and you don't know why
Begin Again,Red (Deluxe Edition),We tell stories and you don't know why,"Had as many James Taylor records as you, but I do","I'm coming off a little shy, but I do"
Begin Again,Red (Deluxe Edition),"I'm coming off a little shy, but I do",We tell stories and you don't know why,
Begin Again,Red (Deluxe Edition),But you throw your head back laughing like a little kid,"I'm coming off a little shy, but I do",I think it's strange that you think I'm funny 'cause he never did
Begin Again,Red (Deluxe Edition),I think it's strange that you think I'm funny 'cause he never did,But you throw your head back laughing like a little kid,I've been spending the last eight months
Begin Again,Red (Deluxe Edition),And we walked down the block to my car,"But on a Wednesday in a café, I watched it begin again",And I almost brought him up
Begin Again,Red (Deluxe Edition),And I almost brought him up,And we walked down the block to my car,But you start to talk about the movies
Begin Again,Red (Deluxe Edition),But you start to talk about the movies,And I almost brought him up,That your family watches every single Christmas
Begin Again,Red (Deluxe Edition),That your family watches every single Christmas,But you start to talk about the movies,And I want to talk about that
Begin Again,Red (Deluxe Edition),And I want to talk about that,That your family watches every single Christmas,"And for the first time, what's past is past"
Begin Again,Red (Deluxe Edition),"And for the first time, what's past is past",And I want to talk about that,
Begin Again,Red (Deluxe Edition),'Cause you throw your head back laughing like a little kid,"And for the first time, what's past is past",I think it's strange that you think I'm funny 'cause he never did
Begin Again,Red (Deluxe Edition),I think it's strange that you think I'm funny 'cause he never did,'Cause you throw your head back laughing like a little kid,I've been spending the last eight months
Begin Again,Red (Deluxe Edition),"But on a Wednesday in a café, I watched it begin again","But on a Wednesday in a café, I watched it begin again",
Come Back... Be Here,Red (Deluxe Edition),You said it in a simple way,,"4 AM, the second day"
Come Back... Be Here,Red (Deluxe Edition),"4 AM, the second day",You said it in a simple way,How strange that I don't know you at all
Come Back... Be Here,Red (Deluxe Edition),How strange that I don't know you at all,"4 AM, the second day",Stumbled through the long goodbye
Come Back... Be Here,Red (Deluxe Edition),Stumbled through the long goodbye,How strange that I don't know you at all,"One last kiss, then catch your flight"
Come Back... Be Here,Red (Deluxe Edition),"One last kiss, then catch your flight",Stumbled through the long goodbye,Right when I was just about to fall
Come Back... Be Here,Red (Deluxe Edition),Right when I was just about to fall,"One last kiss, then catch your flight",
Come Back... Be Here,Red (Deluxe Edition),"I told myself, don't get attached",Right when I was just about to fall,"But in my mind, I play it back"
Come Back... Be Here,Red (Deluxe Edition),"But in my mind, I play it back","I told myself, don't get attached",Spinning faster than the plane that took you
Come Back... Be Here,Red (Deluxe Edition),Spinning faster than the plane that took you,"But in my mind, I play it back",
Come Back... Be Here,Red (Deluxe Edition),And this is when the feeling sinks in,Spinning faster than the plane that took you,I don't wanna miss you like this
Come Back... Be Here,Red (Deluxe Edition),I don't wanna miss you like this,And this is when the feeling sinks in,"Come back, be here, come back, be here"
Come Back... Be Here,Red (Deluxe Edition),"Come back, be here, come back, be here",I don't wanna miss you like this,I guess you're in New York today
Come Back... Be Here,Red (Deluxe Edition),I guess you're in New York today,"Come back, be here, come back, be here",I don't wanna need you this way
Come Back... Be Here,Red (Deluxe Edition),I don't wanna need you this way,I guess you're in New York today,"Come back, be here, come back, be here"
Come Back... Be Here,Red (Deluxe Edition),"Come back, be here, come back, be here",I don't wanna need you this way,
Come Back... Be Here,Red (Deluxe Edition),The delicate beginning rush,"Come back, be here, come back, be here",The feeling you can know so much
Come Back... Be Here,Red (Deluxe Edition),The feeling you can know so much,The delicate beginning rush,Without knowing anything at all
Come Back... Be Here,Red (Deluxe Edition),Without knowing anything at all,The feeling you can know so much,And now that I can put this down
Come Back... Be Here,Red (Deluxe Edition),And now that I can put this down,Without knowing anything at all,If I had known what I know now
Come Back... Be Here,Red (Deluxe Edition),If I had known what I know now,And now that I can put this down,I never would've played so nonchalant
Come Back... Be Here,Red (Deluxe Edition),I never would've played so nonchalant,If I had known what I know now,
Come Back... Be Here,Red (Deluxe Edition),Taxi cabs and busy streets,I never would've played so nonchalant,That never bring you back to me
Come Back... Be Here,Red (Deluxe Edition),That never bring you back to me,Taxi cabs and busy streets,I can't help but wish you took me with you
Come Back... Be Here,Red (Deluxe Edition),I can't help but wish you took me with you,That never bring you back to me,
Come Back... Be Here,Red (Deluxe Edition),And this is when the feeling sinks in,I can't help but wish you took me with you,I don't wanna miss you like this
Come Back... Be Here,Red (Deluxe Edition),"Come back, be here, come back, be here",I don't wanna miss you like this,I guess you're in London today
Come Back... Be Here,Red (Deluxe Edition),I guess you're in London today,"Come back, be here, come back, be here",And I don't wanna need you this way
Come Back... Be Here,Red (Deluxe Edition),And I don't wanna need you this way,I guess you're in London today,"Come back, be here, come back, be here"
Come Back... Be Here,Red (Deluxe Edition),"Come back, be here, come back, be here",And I don't wanna need you this way,
Come Back... Be Here,Red (Deluxe Edition),This is falling in love in the cruelest way,"Come back, be here, come back, be here",This is falling for you when you are worlds away
Come Back... Be Here,Red (Deluxe Edition),This is falling for you when you are worlds away,This is falling in love in the cruelest way,"In New York, be here"
Come Back... Be Here,Red (Deluxe Edition),"In New York, be here",This is falling for you when you are worlds away,"But you're in London, and I break down"
Come Back... Be Here,Red (Deluxe Edition),"But you're in London, and I break down","In New York, be here",'Cause it's not fair that you're not around
Come Back... Be Here,Red (Deluxe Edition),'Cause it's not fair that you're not around,"But you're in London, and I break down",
Come Back... Be Here,Red (Deluxe Edition),This is when the feeling sinks in,'Cause it's not fair that you're not around,I don't wanna miss you like this
Come Back... Be Here,Red (Deluxe Edition),I don't wanna miss you like this,This is when the feeling sinks in,"Come back, be here, come back, be here"
Come Back... Be Here,Red (Deluxe Edition),I guess you're in New York today,"Come back, be here, come back, be here",And I don't wanna need you this way
Come Back... Be Here,Red (Deluxe Edition),And I don't wanna need you this way,I guess you're in New York today,"Come back, be here, come back, be here"
Come Back... Be Here,Red (Deluxe Edition),"Oh-oh, oh-oh","Come back, be here, come back, be here",I don't wanna miss you like this
Come Back... Be Here,Red (Deluxe Edition),I don't wanna miss you like this,"Oh-oh, oh-oh","Oh-oh, oh-oh"
Come Back... Be Here,Red (Deluxe Edition),"Oh-oh, oh-oh",I don't wanna miss you like this,"Come back, be here"
Come Back... Be Here,Red (Deluxe Edition),"Come back, be here","Oh-oh, oh-oh","Come back, be here"
Come Back... Be Here,Red (Deluxe Edition),"Come back, be here","Come back, be here",
Everything Has Changed,Red (Deluxe Edition),(You good to go?),,
Everything Has Changed,Red (Deluxe Edition),All I knew this morning when I woke,(You good to go?),Is I know something now
Everything Has Changed,Red (Deluxe Edition),Is I know something now,All I knew this morning when I woke,Know something now I didn't before
Everything Has Changed,Red (Deluxe Edition),Know something now I didn't before,Is I know something now,And all I've seen since 18 hours ago
Everything Has Changed,Red (Deluxe Edition),And all I've seen since 18 hours ago,Know something now I didn't before,Is green eyes and freckles and your smile
Everything Has Changed,Red (Deluxe Edition),Is green eyes and freckles and your smile,And all I've seen since 18 hours ago,"In the back of my mind, making me feel like"
Everything Has Changed,Red (Deluxe Edition),"In the back of my mind, making me feel like",Is green eyes and freckles and your smile,
Everything Has Changed,Red (Deluxe Edition),I just wanna know you better,"In the back of my mind, making me feel like","Know you better, know you better now"
Everything Has Changed,Red (Deluxe Edition),"Know you better, know you better now",I just wanna know you better,I just wanna know you better
Everything Has Changed,Red (Deluxe Edition),I just wanna know you better,"Know you better, know you better now","Know you better, know you better now"
Everything Has Changed,Red (Deluxe Edition),"Know you better, know you better now",I just wanna know you better,"I just wanna know you, know you, know you"
Everything Has Changed,Red (Deluxe Edition),"I just wanna know you, know you, know you","Know you better, know you better now",
Everything Has Changed,Red (Deluxe Edition),"'Cause all I know is we said, ""Hello""","I just wanna know you, know you, know you",And your eyes look like coming home
Everything Has Changed,Red (Deluxe Edition),And your eyes look like coming home,"'Cause all I know is we said, ""Hello""",All I know is a simple name
Everything Has Changed,Red (Deluxe Edition),All I know is a simple name,And your eyes look like coming home,Everything has changed
Everything Has Changed,Red (Deluxe Edition),Everything has changed,All I know is a simple name,All I know is you held the door
Everything Has Changed,Red (Deluxe Edition),All I know is you held the door,Everything has changed,You'll be mine and I'll be yours
Everything Has Changed,Red (Deluxe Edition),You'll be mine and I'll be yours,All I know is you held the door,All I know since yesterday
Everything Has Changed,Red (Deluxe Edition),All I know since yesterday,You'll be mine and I'll be yours,Is everything has changed
Everything Has Changed,Red (Deluxe Edition),Is everything has changed,All I know since yesterday,
Everything Has Changed,Red (Deluxe Edition),"And all my walls stood tall, painted blue",Is everything has changed,"And I'll take 'em down, take 'em down"
Everything Has Changed,Red (Deluxe Edition),"And I'll take 'em down, take 'em down","And all my walls stood tall, painted blue",And open up the door for you
Everything Has Changed,Red (Deluxe Edition),And open up the door for you,"And I'll take 'em down, take 'em down",And all I feel in my stomach is butterflies
Everything Has Changed,Red (Deluxe Edition),And all I feel in my stomach is butterflies,And open up the door for you,"The beautiful kind, making up for lost time"
Everything Has Changed,Red (Deluxe Edition),"The beautiful kind, making up for lost time",And all I feel in my stomach is butterflies,"Taking flight, making me feel right"
Everything Has Changed,Red (Deluxe Edition),"Taking flight, making me feel right","The beautiful kind, making up for lost time",
Everything Has Changed,Red (Deluxe Edition),I just wanna know you better,"Taking flight, making me feel right","Know you better, know you better now"
Everything Has Changed,Red (Deluxe Edition),Come back and tell me why,Is everything has changed,I'm feeling like I've missed you all this time
Everything Has Changed,Red (Deluxe Edition),I'm feeling like I've missed you all this time,Come back and tell me why,And meet me there tonight
Everything Has Changed,Red (Deluxe Edition),And meet me there tonight,I'm feeling like I've missed you all this time,And let me know that it's not all in my mind
Everything Has Changed,Red (Deluxe Edition),And let me know that it's not all in my mind,And meet me there tonight,
Everything Has Changed,Red (Deluxe Edition),I just wanna know you better,And let me know that it's not all in my mind,"Know you better, know you better now"
Everything Has Changed,Red (Deluxe Edition),"All I know is we said, ""Hello""",Is everything has changed,So dust off your highest hopes
Everything Has Changed,Red (Deluxe Edition),So dust off your highest hopes,"All I know is we said, ""Hello""",All I know is pouring rain
Everything Has Changed,Red (Deluxe Edition),All I know is pouring rain,So dust off your highest hopes,And everything has changed
Everything Has Changed,Red (Deluxe Edition),And everything has changed,All I know is pouring rain,All I know is a new found grace
Everything Has Changed,Red (Deluxe Edition),All I know is a new found grace,And everything has changed,"All my days, I'll know your face"
Everything Has Changed,Red (Deluxe Edition),"All my days, I'll know your face",All I know is a new found grace,All I know since yesterday
Everything Has Changed,Red (Deluxe Edition),All I know since yesterday,"All my days, I'll know your face",Is everything has changed
Everything Has Changed,Red (Deluxe Edition),Is everything has changed,All I know since yesterday,
Girl at Home,Red (Deluxe Edition),"Don't look at me, you got a girl at home",,"And everybody knows that, everybody knows that, ah-ah"
Girl at Home,Red (Deluxe Edition),"And everybody knows that, everybody knows that, ah-ah","Don't look at me, you got a girl at home","Don't look at me, you got a girl at home"
Girl at Home,Red (Deluxe Edition),"Don't look at me, you got a girl at home","And everybody knows that, everybody knows that, ah-ah",And everybody knows that
Girl at Home,Red (Deluxe Edition),And everybody knows that,"Don't look at me, you got a girl at home",
Girl at Home,Red (Deluxe Edition),I don't even know her,And everybody knows that,But I feel a responsibility to do what's upstanding and right
Girl at Home,Red (Deluxe Edition),But I feel a responsibility to do what's upstanding and right,I don't even know her,"It's kinda like a code, yeah"
Girl at Home,Red (Deluxe Edition),"It's kinda like a code, yeah",But I feel a responsibility to do what's upstanding and right,And you've been getting closer and closer
Girl at Home,Red (Deluxe Edition),And you've been getting closer and closer,"It's kinda like a code, yeah",And crossing so many lines
Girl at Home,Red (Deluxe Edition),And crossing so many lines,And you've been getting closer and closer,
Girl at Home,Red (Deluxe Edition),And it would be a fine proposition,And crossing so many lines,If I was a stupid girl
Girl at Home,Red (Deluxe Edition),If I was a stupid girl,And it would be a fine proposition,"But, honey, I am no one's exception"
Girl at Home,Red (Deluxe Edition),"But, honey, I am no one's exception",If I was a stupid girl,"This, I have previously learned"
Girl at Home,Red (Deluxe Edition),"This, I have previously learned","But, honey, I am no one's exception",
Girl at Home,Red (Deluxe Edition),"So don't look at me, you got a girl at home","This, I have previously learned","And everybody knows that, everybody knows that, ah-ah"
Girl at Home,Red (Deluxe Edition),"And everybody knows that, everybody knows that, ah-ah","So don't look at me, you got a girl at home","Don't look at me, you got a girl at home"
Girl at Home,Red (Deluxe Edition),"Don't look at me, you got a girl at home","And everybody knows that, everybody knows that, ah-ah","And everybody knows that, everybody knows that"
Girl at Home,Red (Deluxe Edition),"And everybody knows that, everybody knows that","Don't look at me, you got a girl at home",I see you turn off your phone
Girl at Home,Red (Deluxe Edition),I see you turn off your phone,"And everybody knows that, everybody knows that","And now you've got me alone, and I say"
Girl at Home,Red (Deluxe Edition),"And now you've got me alone, and I say",I see you turn off your phone,"Don't look at me, you got a girl at home"
Girl at Home,Red (Deluxe Edition),"Don't look at me, you got a girl at home","And now you've got me alone, and I say","And everybody knows that, everybody knows that"
Girl at Home,Red (Deluxe Edition),"And everybody knows that, everybody knows that","Don't look at me, you got a girl at home",
Girl at Home,Red (Deluxe Edition),I just want to make sure,"And everybody knows that, everybody knows that",You understand perfectly
Girl at Home,Red (Deluxe Edition),You understand perfectly,I just want to make sure,You're the kind of man who makes me sad
Girl at Home,Red (Deluxe Edition),You're the kind of man who makes me sad,You understand perfectly,"While she waits up, you chase down the newest thing"
Girl at Home,Red (Deluxe Edition),"While she waits up, you chase down the newest thing",You're the kind of man who makes me sad,And take for granted what you have
Girl at Home,Red (Deluxe Edition),And take for granted what you have,"While she waits up, you chase down the newest thing",
